cap,strategy,gen,pop,best_f,mean_f,diversity,cap_used
20,dynamic,81,30,1,0.9263876575703285,0.14216430129164834,30
20,dynamic,82,30,1,0.904976128808812,0.16306142811561558,30
20,dynamic,83,30,1,0.9393825277489392,0.11185991739746358,30
20,dynamic,84,30,1,0.9431704964892892,0.10619104573339408,30
20,dynamic,85,30,1,0.920649331447306,0.15789119416218206,30
20,dynamic,86,30,1,0.8910308480440832,0.19573722387990028,30
20,dynamic,87,30,1,0.8989295724843039,0.18979359025413334,30
20,dynamic,88,30,1,0.8920769201638413,0.16991297685139625,30
20,dynamic,89,30,1,0.9124885256971265,0.1496625389718378,30
20,dynamic,90,30,1,0.9146401853850943,0.16593258161656685,30
20,dynamic,91,30,1,0.9392057112444452,0.11925697603681507,30
20,dynamic,92,30,1,0.9264632502222855,0.13920647100988326,30
20,dynamic,93,30,1,0.9286744330349532,0.14740751829648,30
20,dynamic,94,30,1,0.9190664171140256,0.15100517860992,30
20,dynamic,95,30,1,0.9131258981522101,0.16215902915838534,30
20,dynamic,96,30,1,0.9071959495087875,0.15187578384510714,30
20,dynamic,97,30,1,0.901308690564146,0.16530581949065304,30
20,dynamic,98,30,1,0.872034256541246,0.2055858923080578,30
20,dynamic,99,30,1,0.9138834519975663,0.13819676512244264,30
30,fixed,0,30,0.44205836935353093,0.09919544880065452,0.7261556551556304,30
30,fixed,1,30,0.4673168783461726,0.17843463068530196,0.5944420476770009,30
30,fixed,2,30,0.4673168783461726,0.22270691057952724,0.47608329876168165,30
30,fixed,3,30,0.4673168783461726,0.2643243669424654,0.37037533336749695,30
30,fixed,4,30,0.4673168783461726,0.31273674621569136,0.33467747133322034,30
30,fixed,5,30,0.5367615318721477,0.34569144006200136,0.3428239487453626,30
30,fixed,6,30,0.5367615318721477,0.37566912067233876,0.30878309915078206,30
30,fixed,7,30,0.5367615318721477,0.41830895581309574,0.32950782622238306,30
30,fixed,8,30,0.5820694133276204,0.46485345104029246,0.32625193999436575,30
30,fixed,9,30,0.656969389872156,0.4838556925348311,0.34966941763260273,30
30,fixed,10,30,0.6742546067277707,0.5200141461873646,0.3278482645605334,30
30,fixed,11,30,0.8135615822553782,0.5464577128006572,0.3254138530041753,30
30,fixed,12,30,0.9317952066613682,0.5898166996773749,0.33010717772294623,30
30,fixed,13,30,0.9317952066613682,0.642621531036808,0.3355286556116793,30
30,fixed,14,30,0.9317952066613682,0.6992401019137533,0.258163263698393,30
30,fixed,15,30,0.9678023596655967,0.7627197882791418,0.2416644264124469,30
30,fixed,16,30,1,0.8005124157179344,0.23918644237083247,30
30,fixed,17,30,1,0.8808447649545129,0.16071348119512724,30
30,fixed,18,30,1,0.8722712519435059,0.17454617572084943,30
30,fixed,19,30,1,0.8829321796278792,0.1948543068717557,30
30,fixed,20,30,1,0.8898351836922631,0.17444954261061849,30
30,fixed,21,30,1,0.8958102689766646,0.151547665236061,30
30,fixed,22,30,1,0.8840978960085303,0.17100254403560777,30
30,fixed,23,30,1,0.910850787764593,0.15075843774455755,30
30,fixed,24,30,1,0.9064426957736459,0.1552122893043882,30
30,fixed,25,30,1,0.8999078207657923,0.17901166543194796,30
30,fixed,26,30,1,0.9126673812546692,0.14760575099947262,30
30,fixed,27,30,1,0.9097877875601588,0.1417795706360317,30
30,fixed,28,30,1,0.9303228183569172,0.1394449355981447,30
30,fixed,29,30,1,0.9277697522507943,0.12802539438609986,30
30,fixed,30,30,1,0.9088770218145793,0.17196182222617235,30
30,fixed,31,30,1,0.9330951017463353,0.12825298923252018,30
30,fixed,32,30,1,0.9131913217112814,0.1597147328954872,30
30,fixed,33,30,1,0.9370862637358706,0.10545439426671757,30
30,fixed,34,30,1,0.9078088961686183,0.15383850771238472,30
30,fixed,35,30,1,0.9107269574426545,0.16680137277791537,30
30,fixed,36,30,1,0.9163782407589522,0.15960588575007065,30
30,fixed,37,30,1,0.9108203884790889,0.16753398668924424,30
30,fixed,38,30,1,0.9113059258031354,0.1558737581071466,30
30,fixed,39,30,1,0.899035417008879,0.1680081235876909,30
30,fixed,40,30,1,0.9054820163390457,0.14626962799805576,30
30,fixed,41,30,1,0.9097709308309093,0.151128714480679,30
30,fixed,42,30,1,0.9193265965794181,0.12764203953161493,30
30,fixed,43,30,1,0.9078308334441982,0.15109880749343724,30
30,fixed,44,30,1,0.9051701179057299,0.17466484341226957,30
30,fixed,45,30,1,0.9218752986842337,0.1385854017544124,30
30,fixed,46,30,1,0.9380966209592476,0.12455139502306431,30
30,fixed,47,30,1,0.946827567511054,0.12856110779806323,30
30,fixed,48,30,1,0.9353563144297138,0.11775729347494196,30
30,fixed,49,30,1,0.9417959741085777,0.127548611941378,30
30,fixed,50,30,1,0.9294388886443377,0.12806408283422466,30
30,fixed,51,30,1,0.9386802507733009,0.1307014638175295,30
30,fixed,52,30,1,0.9180608690578638,0.16213534680279118,30
30,fixed,53,30,1,0.9096235996539694,0.1533337117158551,30
30,fixed,54,30,1,0.9086874223740538,0.17890122708585077,30
30,fixed,55,30,1,0.907268747061001,0.1635593131620666,30
30,fixed,56,30,1,0.9210022422974727,0.1370795315590914,30
30,fixed,57,30,1,0.9142145577593426,0.17288010740989312,30
30,fixed,58,30,1,0.9042928298471435,0.17960080597428368,30
30,fixed,59,30,1,0.8997422428872353,0.1750582107229535,30
30,fixed,60,30,1,0.9150703948493731,0.149054873273299,30
30,fixed,61,30,1,0.9426571289158548,0.1273973360541658,30
30,fixed,62,30,1,0.9040827026540702,0.1903068005772774,30
30,fixed,63,30,1,0.9085275764432027,0.17530383687240803,30
30,fixed,64,30,1,0.919360482315608,0.14284779035716694,30
30,fixed,65,30,1,0.9361217195908992,0.12676873254610646,30
30,fixed,66,30,1,0.9333776329156539,0.12925384820923536,30
30,fixed,67,30,1,0.9430115445676405,0.10010021566656706,30
30,fixed,68,30,1,0.91792849766612,0.14923711147227325,30
30,fixed,69,30,1,0.9167148593961977,0.17367135081536014,30
30,fixed,70,30,1,0.9240109071532101,0.12370697858915877,30
30,fixed,71,30,1,0.9302569218526668,0.12275535507723971,30
30,fixed,72,30,1,0.9548055720437957,0.0967653142935744,30
30,fixed,73,30,1,0.9479824070580096,0.10914856948581217,30
30,fixed,74,30,1,0.9121534691872287,0.15083701359527324,30
30,fixed,75,30,1,0.8905924090514931,0.17353511732834243,30
30,fixed,76,30,1,0.8924355904410458,0.1822245756557228,30
30,fixed,77,30,1,0.9068646540539181,0.1507131361314538,30
30,fixed,78,30,1,0.9142515677710298,0.16606657796818042,30
30,fixed,79,30,1,0.9150788818419131,0.15206660042072398,30
30,fixed,80,30,1,0.9136061929281897,0.16082807585133022,30
30,fixed,81,30,1,0.9147894861576177,0.1385688739773407,30
30,fixed,82,30,1,0.8863383273421569,0.1891509424032528,30
30,fixed,83,30,1,0.8992045543169472,0.20038262415526778,30
30,fixed,84,30,1,0.9292778920067545,0.14552790170841398,30
30,fixed,85,30,1,0.9193805180840238,0.16982203084749076,30
30,fixed,86,30,1,0.9391648098614778,0.13187427748801425,30
